Corridor #,Corridor Description,Corridor Num and Description,FY,Clean Corridor,Type,Detailed Type,Midpoint times,Side of street,SupDistrict,DPW Zone,Representative Street Segment,CNN (Route ID),Evaluation date,Evaluator name,Inspector,"11  Score (10, 20, or 30 score)","21  Litter (10, 20, or 30 score)","22  Grime, Leaks, Spills (% of sidewalk w/out)","24  Illegal Dumping (Y/N, where Y=none)","251  Feces, Needles, Condoms (Y/N, where Y=none)","252  Broken Glass (Y/N, where Y=none)",26  Odors (DPW),27  Odors (nonDPW),31  Public (DPW),32 Public (nonDPW),33  Private (Please indicate nearest address on attached work s,"34 Sidewalk (# on sidewalk, preiously 23)",Total # Trash Receptacles,41  Fullness,42  Cleanliness of trash receptacles,43  Cleanliness around trash receptacles,44  Painting,45  Structural integrity & function,46  Doors,Total # Trees,51  Cleanliness,52  Tree Appearance,53  Weediness,54  Clearance,11 pass,21  Pass,22  Pass,31  Pass,32 Pass,33  Pass,34 Pass,41  Pass,42  Pass,43  Pass,44  Pass,45  Pass,46  Pass,51  Pass,52  Pass,53 Pass,54  Pass,Longitude,Latitude,Location,Priority
58,Balboa Avenue: 42nd  - 34th,#58 Balboa Avenue: 42nd  - 34th,2015-16,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,L,1,C,Balboa St  :  34th Ave  -  35th Ave,2679000,6/2/2016 0:00,Jordan,JBR,1.0625,1.0625,0.974375,1,0,1,1,1,0.625,1.375,0.1875,0.0625,6,1,1,1,1,1,0.9,71,0.786954365,1,0.96875,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.494104,37.77586215,,Regular
47,3rd St D: Galvez - Oakdale,#47 3rd St D: Galvez - Oakdale,2016-17,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,10,E,03rd St  :  Galvez Ave  -  Hudson Ave,204101,10/5/2016 0:00,Jordan,JBR,1,1,0.9625,0,1,1,1,1,0,0.375,0,0,12,1,1,1,1,1,1,53,0.927827381,0.984375,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-122.3884759,37.74110763,,Regular
6,Columbus: Powell - Pacific,#6 Columbus: Powell - Pacific,2016-17,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,R,3,A,Columbus Ave  :  Pacific Ave  -  Jack Kerouac Aly,4290000,2/15/2017 0:00,Jordan,JBR,1.361111111,1.388888889,0.963333333,1,1,1,1,1,0,1.069444444,0,0.208333333,3,1,1,1,1,1,1,21,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4055129,37.79706459,,Regular
88,Judah: 42nd - 48th,#88 Judah: 42nd - 48th,2016-17,Clean Corridor,Commercial,Residential,Wed 12PM to 5PM,R,4,F,Judah St  :  42nd Ave  -  43rd Ave,7679000,11/9/2016 0:00,Ladavid,JBR,1,1,0.965833333,1,1,1,1,1,0.25,8.916666667,0,0.583333333,3,1,1,1,1,1,1,22,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.5016396,37.76061395,,Regular
,26th St -- Hampshire to Harrison,,2015-16,,Residential,Residential,Thurs 12PM to 5pm,L,9,D,26th St  :  Bryant St  -  Florida St,1512000,11/4/2015 0:00,Melanie,JBR,1.3,1.3,0.974,0,0,1,1,1,0,5.8,0,1,0,,,,,,,16,0.461904762,1,1,1,1,1,1,1,0,1,0,,,,,,,0,1,1,1,-122.4088253,37.74960064,,Regular
,31st Ave -- Pacheco to Taraval,,2016-17,,Residential,Residential,"Mon 1st, 3rd 9AM to 11AM",L,4,F,31st Ave  :  Quintara St  -  Rivera St,1692000,8/1/2016 0:00,Jordan,JBR,1.1,1,0.977,1,1,1,1,1,0,0.9,0,0.05,0,,,,,,,22,1,0.498737374,1,1,1,1,1,1,0,1,0,,,,,,,1,0,1,1,-122.4889365,37.74807801,,Regular
94,Castro,#94 Castro,2016-17,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,L,8,D,Castro St  :  Market St  -  18th St,3790000,1/13/2017 0:00,Ladavid,JBR,1,1,0.95,1,1,1,1,1,0,0.2,0,0,4,0.666666667,1,1,1,1,1,17,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,-122.435188,37.76267071,,Regular
89,6th St: Market - Folsom,#89 6th St: Market - Folsom,2016-17,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,6,B,06th St  :  Market St  -  Stevenson St,326000,2/22/2017 0:00,Ladavid,JBR,1.611111111,1.444444444,0.932222222,0,0,1,1,1,0,5.777777778,1.444444444,0.222222222,0,,,,,,,25,0.723809524,0.716666667,1,1,1,1,1,1,0,0,0,,,,,,,0,0,1,1,-122.410292,37.78223058,,Regular
85,Taylor: Market to O'Farrell,#85 Taylor: Market to O'Farrell,2015-16,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,R,6,B,Taylor St  :  Market St  -  Opal Pl,12425000,4/15/2016 0:00,Melanie,JBR,1.5,2,0.96,1,0,1,1,1,0.166666667,4.916666667,5.5,0.666666667,2,1,1,1,1,1,1,4,0.75,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.410292,37.78223058,,Regular
,Funston Ave -- Kirkham to Noriega,,2016-17,,Residential,Residential,"Fri 2nd, 4th 9AM to 11AM",R,7,F,Funston Ave  :  Moraga St  -  Noriega St,5972000,9/23/2016 0:00,Jordan,JBR,1,1,0.968,1,0,1,1,1,0,0.4,0,0,0,,,,,,,9,1,0.777777778,1,1,1,1,1,1,0,1,1,,,,,,,1,0,1,1,-122.4700737,37.75639043,,Regular
,Lake St -- 23rd to 28th Ave,,2015-16,,Residential,Residential,"Mon 1st, 3rd 1PM to 3PM",R,2,A,Lake St  :  27th Ave  -  28th Ave,8036000,2/15/2016 0:00,Melanie,JBR,1,1,0.974,1,1,1,1,1,0,0.6,0,0.1,0,,,,,,,41,1,0.949206349,0.631746032,0.933333333,1,1,1,1,0,1,0,,,,,,,1,1,0,1,-122.4872864,37.78564884,,Regular
,Diamond St -- 25th St to Duncan,,2016-17,,Residential,Residential,"Wed 1st, 3rd  9AM to 11AM",L,8,D,Diamond St  :  25th St  -  Clipper St,4748000,1/4/2017 0:00,Jordan,JBR,1,1,0.975,1,1,1,1,1,0,0,0,0.3,0,,,,,,,37,1,0.96,1,1,1,1,1,1,1,1,0,,,,,,,1,1,1,1,-122.4361377,37.74956203,,Regular
,18th Ave -- Taraval to Wawona,,2016-17,,Residential,Residential,"Tue 2nd, 4th 1PM to 3PM",R,7,F,18th ave :  Taraval st - Wawona st,848000,7/26/2016 0:00,Jordan,JBR,1,1,0.973333333,0,1,1,1,1,0,1.244444444,0,0.066666667,0,,,,,,,22,0.933333333,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4743646,37.73937137,,Regular
83,Hyde: Market-Taylor,#83 Hyde: Market-Taylor,2015-16,Clean Corridor,Commercial,Residential,Mon 12PM to 5PM,R,6,B,Turk St  :  Taylor St  -  Jones St,12717000,5/9/2016 0:00,Melanie,JBR,1.845238095,2.44047619,0.920833333,1,0,1,0,1,0.035714286,6.845238095,0.607142857,0.654761905,3,1,1,1,1,1,1,30,0.348214286,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.4107648,37.78321431,,Regular
56,Fremont,#56 Fremont,2015-16,,Commercial,Commercial,Tue 12PM to 5PM,R,6,B,Fremont St  :  Mission St  -  Transbay Hump,5861001,11/10/2015 0:00,CONSTRUCTION,JBR,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,,,,,,,,,,,-122.3966897,37.79046107,,Regular
23,Chestnut: Fillmore - Divisadero,#23 Chestnut: Fillmore - Divisadero,2016-17,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,L,2,A,Chestnut St  :  Fillmore St  -  Mallorca Way,3977000,12/2/2016 0:00,Ladavid,JBR,1,1,0.970555556,0,1,1,1,1,0,0.255555556,0.583333333,0,7,1,1,1,1,1,1,19,1,1,0.958333333,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,-122.4362739,37.80081414,,Regular
48,3rd St E: Oakdale - Williams,#48 3rd St E: Oakdale - Williams,2015-16,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,10,E,03rd St  :  Oakdale Ave  -  Palou Ave,212101,5/4/2016 0:00,Jordan,JBR,1.571428571,1.785714286,0.865,1,0,0,1,1,0,2.714285714,1.428571429,0,7,1,1,1,1,1,1,38,0.333333333,0.964285714,0.985714286,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,-122.3906938,37.73479736,,Regular
6,Columbus: Powell - Pacific,#6 Columbus: Powell - Pacific,2015-16,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,R,3,A,Columbus Ave  :  Pacific Ave  -  Jack Kerouac Aly,4290000,2/17/2016 0:00,Melanie,JBR,1.666666667,1.583333333,0.960833333,1,1,1,1,1,0,1.75,0.111111111,0.416666667,3,1,1,1,1,1,1,21,0.791666667,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.4055129,37.79706459,,Regular
,28th Ave -- Quintara to Taraval,,2015-16,,Residential,Residential,"Mon 1st, 3rd 8AM to 10AM",L,4,F,28th Ave  :  Quintara St  -  Rivera St,1592000,4/4/2016 0:00,Melanie,JBR,1.333333333,1.333333333,0.975333333,1,1,1,1,1,0,0.866666667,0,0,0,,,,,,,57,0.73919473,0.916380991,0.661289238,1,1,1,1,1,0,1,1,,,,,,,0,1,0,1,-122.4857272,37.74821978,,Regular
12,Clement B: 5th - 10th Ave,#12 Clement B: 5th - 10th Ave,2016-17,Clean Corridor,Commercial,Commercial,Tue 12PM to 5PM,R,1,C,Clement St  :  05th Ave  -  06th Ave,4154000,11/1/2016 0:00,Ladavid,JBR,1.533333333,1.333333333,0.949333333,1,1,1,1,1,0.133333333,1.533333333,0.533333333,0,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-122.4633505,37.7829892,,Regular
52,Noriega A: 19th - 25th,#52 Noriega A: 19th - 25th,2016-17,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,R,4,F,Noriega St  :  19th Ave  -  20th Ave,9653000,9/8/2016 0:00,Jordan,JBR,1.083333333,1,0.966666667,0,1,1,1,1,0,1.333333333,0.083333333,0,1,1,1,0,1,1,1,28,0.858333333,0.933333333,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,-122.4764235,37.75424219,,Regular
23,Chestnut: Fillmore - Divisadero,#23 Chestnut: Fillmore - Divisadero,2016-17,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,L,2,A,Chestnut St  :  Fillmore St  -  Mallorca Way,3977000,9/2/2016 0:00,Jordan,JBR,1,1,0.961888889,1,0,1,1,1,0.033333333,0.788888889,0,0.3,7,1,1,1,1,1,1,23,0.966666667,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4362739,37.80081414,,Regular
52,Noriega A: 19th - 25th,#52 Noriega A: 19th - 25th,2015-16,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,R,4,F,Noriega St  :  19th Ave  -  20th Ave,9653000,3/3/2016 0:00,Melanie,JBR,1.916666667,1.916666667,0.9625,0,1,1,1,1,0.25,2.916666667,0.083333333,0.5,1,1,1,1,1,1,1,32,0.562698413,1,0.726984127,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,-122.4764235,37.75424219,,Regular
24,Divisadero A: Haight - McAllister,#24 Divisadero A: Haight - McAllister,2015-16,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,R,5,C,Divisadero St  :  Haight St  -  Page St,4799101,9/11/2015 0:00,Melanie,JBR,1,1.785714286,0.966428571,1,1,1,1,1,1.142857143,9.071428571,7.642857143,1.928571429,3,1,1,1,1,1,1,51,0.80952381,1,0.947845805,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.4370456,37.77126742,,Regular
22,Irving A: 19th Ave - 25th Ave,#22 Irving A: 19th Ave - 25th Ave,2016-17,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,R,4,F,Irving St  :  19th Ave  -  20th Ave,7296000,1/27/2017 0:00,Ladavid,JBR,1.083333333,1.083333333,0.95,1,1,1,1,1,0,0.083333333,1.333333333,0,3,1,1,1,1,1,1,25,0.966666667,0.822222222,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,-122.4771741,37.7635595,,Regular
,Kirkham St -- 30th to 35th Ave,,2015-16,,Residential,Residential,"Fri 2nd, 4th 9AM to 11AM",R,4,F,Kirkham St  :  34th Ave  -  35th Ave,7872000,12/11/2015 0:00,Melanie,JBR,1.3,1.2,0.97,0,1,1,1,1,0.1,2.7,0,0.5,0,,,,,,,7,1,0.888888889,1,1,1,1,1,0,0,1,0,,,,,,,1,0,1,1,-122.4929369,37.75912292,,Regular
,26th Ave -- Clement to Fulton,,2015-16,,Residential,Residential,"Wed 1st, 3rd 8AM to 10AM",R,1,C,26th Ave  :  Balboa St  -  Cabrillo St,1475000,8/5/2015 0:00,Melanie,JBR,1.63,1.6,0.9588,1,1,1,1,1,0,2.04,0,0.31,0,,,,,,,32,0.669047619,0.914285714,1,1,1,1,1,1,0,1,0,,,,,,,0,1,1,1,-122.4855323,37.77625246,,Regular
32,Taraval: 18th - 23rd,#32 Taraval: 18th - 23rd,2016-17,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,R,7,F,Taraval St  :  18th Ave  -  19th Ave,12394000,2/2/2017 0:00,Ladavid,JBR,1.1,1,0.95,1,1,1,1,1,0,0.6,0.1,0.1,1,1,1,1,1,1,1,19,1,0.833333333,0.96875,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,-122.4746238,37.74309661,,Regular
23,Chestnut: Fillmore - Divisadero,#23 Chestnut: Fillmore - Divisadero,2016-17,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,L,2,A,Chestnut St  :  Fillmore St  -  Mallorca Way,3977000,10/7/2016 0:00,Ladavid,JBR,1.316666667,1.166666667,0.959638889,1,1,1,1,1,0,1.461111111,0,0,7,1,1,1,1,1,1,18,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-122.4362739,37.80081414,,Regular
22,Irving A: 19th Ave - 25th Ave,#22 Irving A: 19th Ave - 25th Ave,2016-17,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,R,4,F,Irving St  :  19th Ave  -  20th Ave,7296000,10/14/2016 0:00,Ladavid,JBR,1.333333333,1.166666667,0.978333333,1,1,1,1,1,0,1.416666667,0,0,0,,,,,,,20,1,0.7,1,1,1,1,1,1,0,1,1,,,,,,,1,0,1,1,-122.4771741,37.7635595,,Regular
31,Polk B: California - Vallejo,#31 Polk B: California - Vallejo,2016-17,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,L,3,A,Polk St  :  California St  -  Sacramento St,10570000,2/9/2017 0:00,Ladavid,JBR,1.857142857,1.523809524,0.934285714,0,1,1,1,1,0,0.904761905,0.761904762,0,4,1,1,1,1,1,1,32,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,-122.4206874,37.79057826,,Regular
77,Van Ness 8: Broadway - Greenwich,#77 Van Ness 8: Broadway - Greenwich,2016-17,Clean Corridor,Commercial,Residential,Fri 12PM to 5PM,L,2,A,Van Ness Ave  :  Broadway  -  Vallejo St,13164101,8/19/2016 0:00,Jordan,JBR,1.533333333,1.266666667,0.961333333,1,1,1,1,1,0,3.933333333,0,1.066666667,2,1,1,1,1,1,1,29,0.644444444,0.911111111,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,-122.4234131,37.79573711,,Regular
5,24th B: Folsom - Valencia,#5 24th B: Folsom - Valencia,2016-17,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,L,9,D,24th St  :  Folsom St  -  Shotwell St,1340000,12/15/2016 0:00,Jordan,JBR,1.466666667,1.4,0.939,1,1,1,1,1,0.2,4.533333333,0.333333333,0.233333333,8,1,1,1,1,0.833333333,1,34,0.96875,0.957142857,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,-122.414086,37.75250607,,Regular
,Bush St -- Mason to Larkin,,2015-16,,Residential,Residential,Mon 8AM to 12PM,L,3,A,Bush St  :  Jones St  -  Leavenworth St,3440000,12/7/2015 0:00,Melanie,JBR,2.05,2,0.958,0,0,0,1,1,0.3,5.15,0.8,0.55,0,,,,,,,18,0.536666667,1,1,1,0,0,1,0,0,0,0,,,,,,,0,1,1,1,-122.4137284,37.78952932,,Regular
,Brunswick St -- Newton to Florentine,,2016-17,,Residential,Residential,Fri 12PM to 5PM,R,11,E,Brunswick St  :  Unnamed 070  -  Pope St,3250000,11/11/2016 0:00,Jordan,JBR,1,1,0.972,1,1,1,1,1,0,0.8,0,0,0,,,,,,,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,1,1,1,1,-122.4395887,37.71161517,,Regular
,Baker St -- Green to Greenwich,,2016-17,,Residential,Residential,"Wed 12PM to 5PM, Thurs 8AM to 12PM",R,2,A,Baker St  :  Miley St  -  Greenwich St,2633000,2/13/2017 0:00,Jordan,JBR,1,1,0.9675,1,1,1,1,1,0,0.5,0,0,0,,,,,,,13,1,1,1,1,1,1,1,1,0,1,1,,,,,,,1,1,1,1,-122.4456919,37.79722495,,Regular
,31st Ave -- Pacheco to Taraval,,2016-17,,Residential,Residential,"Mon 1st, 3rd 9AM to 11AM",L,4,F,31st Ave  :  Quintara St  -  Rivera St,1692000,2/6/2017 0:00,Jordan,JBR,1.05,1,0.9765,0,1,1,1,1,0,0.7,0,0,0,,,,,,,14,1,1,1,1,1,1,1,1,0,1,1,,,,,,,1,1,1,1,-122.4889365,37.74807801,,Regular
28,Geary A: Arguello - 7th,#28 Geary A: Arguello - 7th,2016-17,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,R,1,C,Geary Blvd  :  Arguello Blvd  -  02nd Ave,6057101,11/18/2016 0:00,Jordan,JBR,1.111111111,1.111111111,0.950555556,1,1,1,1,1,0,1.5,0.555555556,0.555555556,3,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,-122.4588587,37.78125706,,Regular
,Rivera St -- 19th to 22nd Ave,,2016-17,,Residential,Residential,"Thur 1st, 3rd 8AM to 10AM",R,4,F,Rivera St  :  19th Ave  -  20th Ave,11054000,7/7/2016 0:00,Jordan,JBR,1,1,0.976666667,0,0,1,1,1,0,2,0,0.833333333,0,,,,,,,1,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.475902,37.74678204,,Regular
,Joost Ave -- Lippard to Foerster,,2015-16,,Residential,Residential,"Fri 1st, 3rd 12PM to 2PM",R,7,F,Joost Ave  :  Edna St  -  Foerster St,7612000,3/18/2016 0:00,Melanie,JBR,1.055555556,1,0.971,1,1,1,1,1,0,1.29047619,0,0.055555556,0,,,,,,,40,1,0.760582011,0.526455026,1,1,1,1,1,0,1,0,,,,,,,1,0,0,1,-122.4472968,37.73233344,,Regular
88,Judah: 42nd - 48th,#88 Judah: 42nd - 48th,2016-17,Clean Corridor,Commercial,Residential,Wed 12PM to 5PM,R,4,F,Judah St  :  42nd Ave  -  43rd Ave,7679000,1/25/2017 0:00,Ladavid,JBR,1,1,0.98,0,1,1,1,1,0.166666667,1.5,0.083333333,0.083333333,3,1,1,1,1,1,1,22,1,0.600378788,0.78030303,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,-122.5016396,37.76061395,,Regular
,26th Ave -- Clement to Fulton,,2015-16,,Residential,Residential,"Wed 1st, 3rd 8AM to 10AM",R,1,C,26th Ave  :  Balboa St  -  Cabrillo St,1475000,2/3/2016 0:00,Melanie,JBR,1.44,1.32,0.97,0,1,1,1,1,0,2.52,0.12,0.16,0,,,,,,,31,0.842261905,0.971428571,0.754166667,1,1,1,1,1,0,0,0,,,,,,,0,1,0,1,-122.4855323,37.77625246,,Regular
54,Minna Street: 2nd - Fremont,#54 Minna Street: 2nd - Fremont,2016-17,Clean Corridor,Commercial,Public/Commercial,Thu 12PM to 5PM,R,6,B,Minna St  :  01st St  -  Shaw Aly,9038000,10/13/2016 0:00,Jordan,JBR,1.428571429,1.285714286,0.932857143,1,1,1,1,1,0,1.285714286,0,0,0,,,,,,,6,1,1,1,1,1,1,1,1,0,1,1,,,,,,,1,1,1,1,-122.3970348,37.78933265,,Regular
91,Market/Steuart,#91 Market/Steuart,2015-16,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,6,B,Market St  :  Steuart St  -  Spear St,8737101,10/21/2015 0:00,Melanie,JBR,1,1.875,0.9625,0,1,1,1,1,0.25,5.125,0.5,0,11,1,1,1,1,1,1,49,0.846590909,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,-122.3947476,37.79447972,,Regular
35,Irving B: 6th - Funston,#35 Irving B: 6th - Funston,2016-17,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,L,5,C,09th Ave  :  Lincoln Way  -  Irving St,431000,1/5/2017 0:00,Ladavid,JBR,1,1.055555556,0.95,0,1,1,1,1,0,0.266666667,0.177777778,0,11,1,1,1,1,1,1,76,0.993055556,0.979166667,0.92962963,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,-122.4664425,37.76592466,,Regular
30,Kearny: Columbus - California,#30 Kearny: Columbus - California,2016-17,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,R,3,A,Kearny St  :  California St  -  Sacramento St,7755000,11/4/2016 0:00,Jordan,JBR,1.142857143,1.142857143,0.956190476,1,1,1,1,1,0,2.142857143,0,0,0,,,,,,,9,0.9,1,1,1,1,1,1,1,0,1,1,,,,,,,1,1,1,1,-122.4044184,37.79263866,,Regular
91,Market/Steuart,#91 Market/Steuart,2015-16,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,6,B,Market St  :  Steuart St  -  Spear St,8737101,6/8/2016 0:00,Jordan,JBR,1,1.125,0.9775,1,0,1,1,1,0.875,2.625,0,0,8,1,1,1,1,1,1,48,0.840909091,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,-122.3947476,37.79447972,,Regular
,Sloat Blvd -- 20th to 25th Ave,,2015-16,,Residential,Residential,Mon 8AM to 12PM,L,7,F,Sloat Blvd  :  20th Ave  -  21st Ave,11951102,11/1/2015 0:00,Melanie,JBR,1,1,0.9785,1,1,1,1,1,0,0.7,0,0.3,0,,,,,,,1,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4761598,37.73455352,,Regular
27,Leland Avenue - Bayshore to Cora,#27 Leland Avenue - Bayshore to Cora,2015-16,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,L,10,E,Leland Ave  :  Bay Shore Blvd  -  Desmond St,8292000,6/16/2016 0:00,Jordan,JBR,1.1,1.3,0.976,1,1,1,1,1,0,1.1,0,0,1,1,1,1,1,1,1,33,0.456507937,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,-122.4036501,37.71118857,,Regular
,Prague St -- Geneva to Pope,,2016-17,,Residential,Residential,Mon 8AM to 12PM,R,11,E,Prague St  :  Drake St  -  Curtis St,10737000,11/28/2016 0:00,Jordan,JBR,1.125,1,0.964375,1,0,1,1,1,0,0.791666667,0,0.614583333,0,,,,,,,26,0.952380952,0.952380952,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4366877,37.71002343,,Regular
,28th Ave -- Quintara to Taraval,,2016-17,,Residential,Residential,"Mon 1st, 3rd 8AM to 10AM",L,4,F,28th Ave  :  Quintara St  -  Rivera St,1592000,10/3/2016 0:00,Jordan,JBR,1.066666667,1.066666667,0.967333333,1,1,1,1,1,0,0.333333333,0,0,0,,,,,,,45,0.968253968,0.870899471,1,1,1,1,1,1,0,1,1,,,,,,,1,0,1,1,-122.4857272,37.74821978,,Regular
,19th Ave -- Irving to Noriega,,2015-16,,Residential,Residential,"Mon 12PM to 5PM, Tue 8AM to 12PM",R,4,F,19th Ave  :  Irving St  -  Judah St,910201,1/18/2016 0:00,Melanie,JBR,1.64,1.44,0.9692,1,1,1,1,1,0.04,4.68,0.52,0.36,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-122.4771741,37.7635595,,Regular
86,Mason: Market - Powell,#86 Mason: Market - Powell,2015-16,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,R,3,A,Ellis St  :  Powell St  -  Cyril Magnin St,5170000,11/18/2015 0:00,Melanie,JBR,1.125,1.833333333,0.9725,1,1,1,1,1,0.125,2,0.416666667,0.166666667,11,1,1,1,1,1,1,42,0.664351852,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.4078525,37.78549156,,Regular
61,Valencia: 16th - 20th,#61 Valencia: 16th - 20th,2015-16,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,L,9,D,Valencia St  :  17th St  -  Clarion Aly,13061000,8/14/2015 0:00,Melanie,JBR,1,1.14,0.959266667,1,1,1,1,1,0,3.83,7.98,1.466666667,4,1,1,1,1,1,1,48,0.380735931,1,0.99047619,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.4217315,37.76329977,,Regular
31,Polk B: California - Vallejo,#31 Polk B: California - Vallejo,2016-17,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,L,3,A,Polk St  :  California St  -  Sacramento St,10570000,11/10/2016 0:00,Ladavid,JBR,1.619047619,1.142857143,0.937142857,1,0,1,1,0,0.095238095,0.619047619,0,0.095238095,4,1,1,1,1,1,1,30,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4206874,37.79057826,,Regular
97,"Fillmore C: Geary, Scott - Webster","#97 Fillmore C: Geary, Scott - Webster",2016-17,,Commercial,Commercial,Thu 12PM to 5PM,R,5,C,Geary Blvd  :  Webster St  -  Fillmore St,6041102,12/1/2016 0:00,Jordan,JBR,1.232142857,1.321428571,0.960892857,1,1,1,1,1,0.442857143,5.089285714,2.5,0.978571429,2,1,1,1,1,1,1,45,0.783950617,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.4312049,37.78456824,,Regular
94,Castro,#94 Castro,2016-17,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,L,8,D,Castro St  :  Market St  -  18th St,3790000,12/9/2016 0:00,Ladavid,JBR,1,1,0.962666667,0,1,1,1,1,0,0,0,0,3,0.666666667,1,1,1,1,1,17,0.923076923,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-122.435188,37.76267071,,Regular
,Madrid St -- Silver Ave to Persia,,2016-17,,Residential,Residential,Fri 12PM to 5PM,R,11,E,Madrid St  :  Silver Ave  -  Peru Ave,8603000,2/16/2017 0:00,Jordan,JBR,1.24,1.16,0.9642,1,1,1,1,1,0,0.42,0,0,0,,,,,,,36,0.852261905,1,1,1,1,1,1,1,0,1,1,,,,,,,0,1,1,1,-122.42758,37.7285663,,Regular
